player_id,player_name,bat_hand
663630,"McKenna, Ryan",R
663647,"Hayes, Ke'Bryan",R
663656,"Tucker, Kyle",L
663662,"Cameron, Daz",R
663697,"India, Jonathan",R
663698,"Bart, Joey",R
663714,"Kroon, Matt",R
663727,"Kapers, Scott",R
663728,"Raleigh, Cal",S
663731,"Kaiser, Connor",R
663743,"Fortes, Nick",R
663757,"Grisham, Trent",L
663796,"Montes, Coco",R
663807,"Dalesandro, Nick",R
663837,"Vierling, Matt",R
663845,"Rivas III, Alfonso",L
663853,"Gonzalez, Romy",R
663886,"Stephenson, Tyler",R
663897,"Williams, Luke",R
663898,"Rodgers, Brendan",R
663905,"Blankenhorn, Travis",L
663944,"Roberts, Cody",R
663967,"Salazar, César",L
663968,"Mangum, Jake",S
663979,"Datres, Kyle",R
663993,"Lowe, Nathaniel",L
664023,"Happ, Ian",S
664029,"Mathias, Mark",R
664034,"France, Ty",R
664040,"Lowe, Brandon",L
664056,"Bader, Harrison",R
664058,"Fletcher, David",R
664059,"Haggerty, Sam",S
664068,"Kingery, Scott",R
664104,"Neslony, Tyler",L
664119,"Allen, Austin",L
664120,"McDowell, Max",R
664238,"Moore, Dylan",R
664247,"Garlick, Kyle",R
664314,"Florial, Estevan",L
664332,"Gómez, Moisés",R
664670,"Lopez, Alejo",S
664702,"Straw, Myles",R
664728,"Isbel, Kyle",L
664731,"Higgins, P.J.",R
664753,"Costes, Marty",R
664761,"Bohm, Alec",R
664770,"Lukes, Nathan",L
664774,"Wade Jr., LaMonte",L
664848,"Sands, Donny",R
664874,"Zavala, Seby",R
664901,"Mendick, Danny",R
664913,"Brown, Seth",L
664954,"Sullivan, Brett",L
664983,"McCarthy, Jake",L
665019,"Clemens, Kody",L
665052,"Conine, Griffin",L
665120,"Walsh, Jared",L
665155,"Maton, Nick",L
665161,"Peña, Jeremy",R
665180,"Cardenas, Ruben",R
665482,"Celestino, Gilberto",S
665487,"Tatis Jr., Fernando",R
665489,"Guerrero Jr., Vladimir",R
665506,"Pache, Cristian",R
665561,"Marchán, Rafael",S
665648,"Genovés, Ricardo",R
665742,"Soto, Juan",L
665750,"Taveras, Leody",S
665782,"De Los Santos, Luis",R
665804,"Amaya, Miguel",R
665828,"Cabrera, Oswaldo",S
665833,"Cruz, Oneil",L
665839,"Valdez, Enmanuel",L
665846,"Bastidas, Jesús",R
665856,"Camargo, Jair",R
665861,"Rivero, Sebastián ",R
665862,"Chisholm Jr., Jazz",L
665877,"Fermín, José",R
665888,"Navarro, Cristopher",R
665912,"Hernandez, Miguel",R
665922,"Muzziotti, Símon",L
665923,"Ruiz, Esteury",R
665926,"Giménez, Andrés",L
665953,"Chaparro, Andrés",R
665966,"Narváez, Carlos",R
665975,"Sanchez, Lolo",R
665987,"Valera, Leonel",R
665989,"Newton, Shervyen",S
665998,"Munguia, Ismael",L
666018,"Aranda, Jonathan",L
666023,"Fermin, Freddy",R
666124,"Berryhill, Luke",R
666126,"Cortes, Carlos",L
666133,"Iser, Herbert",L
666134,"Jones, Nolan",S
666135,"Kirilloff, Alex",L
666139,"Lowe, Josh",L
666140,"McIlwain, Brandon",R
666149,"Fitzgerald, Tyler",R
666150,"Fletcher, Dominic",L
666152,"Hamilton, David",L
666158,"Lux, Gavin",L
666160,"Moniak, Mickey",L
666163,"Rortvedt, Ben",L
666165,"Sabol, Blake",L
666176,"Adell, Jo",R
666177,"Aldrete, Carter",R
666179,"Beer, Seth",L
666181,"Benson, Will",L
666182,"Bichette, Bo",R
